"seed","N","n_eff","strategy","Pr","Re","MCC","CoefL2","JacRMSE"
14,60,60,"maximin",0.875,0.4375,0.53253521010352,4.04846633942632,0.172722237182408
14,12,12,"dopt",0.8,0.25,0.356453115471603,8.82342532123405,0.381550967227836
14,16,16,"dopt",1,0.25,0.438529009653515,3.77745137222186,0.199702004395006
14,20,20,"dopt",1,0.375,0.547722557505166,5.1761267332108,0.215647628800597
14,30,30,"dopt",1,0.3125,0.495073771488337,3.57684316472921,0.190231214678419
14,40,40,"dopt",0.777777777777778,0.4375,0.476641124148257,3.81515447963077,0.152559607901105
14,60,60,"dopt",1,0.625,0.737209780774486,3.96715030894315,0.123588469932239
15,12,12,"random",0.333333333333333,0.125,0.0365148371670111,13.5498821147906,0.429860584100011
15,16,16,"random",0.375,0.1875,0.0806871530459878,8.4180982697142,0.367155108572388
15,20,20,"random",0.571428571428571,0.25,0.239045721866879,10.0168874094169,0.654812400569013
15,30,30,"random",0.666666666666667,0.25,0.292118697336089,5.06178902902824,0.302128004056903
15,40,40,"random",0.833333333333333,0.3125,0.419920627420627,5.28028724289305,0.277725769237253
15,60,60,"random",0.75,0.375,0.419573195839137,3.67669276163899,0.238856942110533
15,12,12,"maximin",0.375,0.1875,0.0806871530459878,8.11937312779035,0.374180299588738
15,16,16,"maximin",0.5,0.0625,0.0912870929175277,5.2944902550157,0.403941800727634
15,20,20,"maximin",0.8,0.25,0.356453115471603,3.6897114828671,0.304730431177493
15,30,30,"maximin",0.909090909090909,0.625,0.682242292337953,4.36986095879278,0.193119337283699
15,40,40,"maximin",1,0.5625,0.691898406021664,3.83244845079436,0.156917776297265
15,60,60,"maximin",0.909090909090909,0.625,0.682242292337953,3.92056607955662,0.139974351186134
15,12,12,"dopt",1,0.125,0.304290309725092,7.64430100080561,0.306559651301195
15,16,16,"dopt",0.625,0.3125,0.306611181574754,6.60251018631018,0.297257058252965
15,20,20,"dopt",0.857142857142857,0.375,0.478091443733757,5.37827258071201,0.23799330117628
15,30,30,"dopt",0.888888888888889,0.5,0.58426976508496,4.74923778877341,0.237603085145741
15,40,40,"dopt",1,0.5625,0.691898406021664,3.93428215587045,0.163506267562024
15,60,60,"dopt",0.857142857142857,0.75,0.730296743340222,3.36944479097659,0.146201221483545
16,12,12,"random",0.222222222222222,0.125,-0.061502080535259,17.7829110611387,1.37792869727784
16,16,16,"random",0.666666666666667,0.25,0.292118697336089,8.52103631657105,0.330624881339819
16,20,20,"random",0.4,0.25,0.117953564923918,7.51925002014567,0.33913095131303
16,30,30,"random",0.666666666666667,0.25,0.292118697336089,4.29221111763501,0.27549805087879
16,40,40,"random",1,0.375,0.547722557505166,3.76846612875956,0.227755897304427
16,60,60,"random",1,0.5,0.645497224367903,3.66760299557313,0.191134605884303
16,12,12,"maximin",1,0.0625,0.21320071635561,7.05839055845468,0.28899330419338
16,16,16,"maximin",0.75,0.375,0.419573195839137,6.80375221404489,0.31137117899533
16,20,20,"maximin",0.625,0.3125,0.306611181574754,5.73390554527173,0.291959737172036
16,30,30,"maximin",0.727272727272727,0.5,0.483254957072717,5.01274543830323,0.210550909506611
16,40,40,"maximin",0.818181818181818,0.5625,0.582748624705335,4.72957841330298,0.197419211529098
16,60,60,"maximin",0.769230769230769,0.625,0.588500413789499,4.50391739712514,0.163664273718391
16,12,12,"dopt",0.454545454545455,0.3125,0.184773954174862,4.53604079891026,0.251692396869397
16,16,16,"dopt",0.5,0.1875,0.16431676725155,3.72896758509754,0.303067262389261
16,20,20,"dopt",0.75,0.375,0.419573195839137,4.09935746787711,0.256139768079878
